name,estimate,moe
ALAMEDA CO.,69384,876
ALPINE CO.,63478,16309
AMADOR CO.,54758,3340
BUTTE CO.,43170,982
CALAVERAS CO.,54971,4905
COLUSA CO.,48016,4404
CONTRA COSTA CO.,78385,859
DEL NORTE CO.,36118,4870
EL DORADO CO.,70000,1769
FRESNO CO.,46430,658
GLENN CO.,43074,2413
HUMBOLDT CO.,40089,1219
IMPERIAL CO.,38685,1312
INYO CO.,44808,3693
KERN CO.,47089,691
KINGS CO.,48684,1892
LAKE CO.,39491,1615
LASSEN CO.,50317,4275
LOS ANGELES CO.,55476,234
MADERA CO.,46039,1652
MARIN CO.,89268,1957
MARIPOSA CO.,49098,5838
MENDOCINO CO.,43759,1346
MERCED CO.,43844,1566
MODOC CO.,34588,2797
MONO CO.,55087,7461
MONTEREY CO.,59271,1270
NAPA CO.,67389,2141
NEVADA CO.,57121,1881
ORANGE CO.,74344,498
PLACER CO.,74447,1226
PLUMAS CO.,44000,2761
RIVERSIDE CO.,57768,598
SACRAMENTO CO.,56439,590
SAN BENITO CO.,65771,2445
SAN BERNARDINO CO.,55845,482
SAN DIEGO CO.,63069,464
SAN FRANCISCO CO.,71304,899
SAN JOAQUIN CO.,54341,909
SAN LUIS OBISPO CO.,57365,1444
SAN MATEO CO.,85648,877
SANTA BARBARA CO.,60078,1101
SANTA CLARA CO.,86850,730
SANTA CRUZ CO.,65253,1187
SHASTA CO.,43944,1009
SIERRA CO.,52950,11434
SISKIYOU CO.,36981,1402
SOLANO CO.,68409,1175
SONOMA CO.,63274,1032
STANISLAUS CO.,51094,771
SUTTER CO.,50944,1785
TEHAMA CO.,38137,1107
TRINITY CO.,38725,4735
TULARE CO.,43851,860
TUOLUMNE CO.,47462,2518
VENTURA CO.,75348,951
YOLO CO.,57077,1608
YUBA CO.,46807,2824
