name,estimate,moe,variable
ALAMEDA CO.,75619,613,B19013_001
ALPINE CO.,52917,13603,B19013_001
AMADOR CO.,54171,4208,B19013_001
BUTTE CO.,43444,1068,B19013_001
CALAVERAS CO.,53233,3774,B19013_001
COLUSA CO.,52168,2583,B19013_001
CONTRA COSTA CO.,80185,827,B19013_001
DEL NORTE CO.,40847,4369,B19013_001
EL DORADO CO.,69584,1835,B19013_001
FRESNO CO.,45233,692,B19013_001
GLENN CO.,39349,4204,B19013_001
HUMBOLDT CO.,42197,1183,B19013_001
IMPERIAL CO.,41079,1556,B19013_001
INYO CO.,45955,2280,B19013_001
KERN CO.,49026,865,B19013_001
KINGS CO.,46481,1200,B19013_001
LAKE CO.,35578,2034,B19013_001
LASSEN CO.,51555,2789,B19013_001
LOS ANGELES CO.,56196,270,B19013_001
MADERA CO.,45073,1837,B19013_001
MARIN CO.,93257,2610,B19013_001
MARIPOSA CO.,47681,4294,B19013_001
MENDOCINO CO.,42980,1757,B19013_001
MERCED CO.,42462,1214,B19013_001
MODOC CO.,37860,4210,B19013_001
MONO CO.,56944,10734,B19013_001
MONTEREY CO.,58783,1121,B19013_001
NAPA CO.,71379,2063,B19013_001
NEVADA CO.,56521,2539,B19013_001
ORANGE CO.,76509,426,B19013_001
PLACER CO.,73948,1220,B19013_001
PLUMAS CO.,47333,3575,B19013_001
RIVERSIDE CO.,56603,478,B19013_001
SACRAMENTO CO.,55987,594,B19013_001
SAN BENITO CO.,71077,2019,B19013_001
SAN BERNARDINO CO.,53433,571,B19013_001
SAN DIEGO CO.,64309,514,B19013_001
SAN FRANCISCO CO.,81294,1099,B19013_001
SAN JOAQUIN CO.,53274,946,B19013_001
SAN LUIS OBISPO CO.,60691,1137,B19013_001
SAN MATEO CO.,93623,1412,B19013_001
SANTA BARBARA CO.,63985,1293,B19013_001
SANTA CLARA CO.,96310,783,B19013_001
SANTA CRUZ CO.,67256,1534,B19013_001
SHASTA CO.,44620,1209,B19013_001
SIERRA CO.,42833,8464,B19013_001
SISKIYOU CO.,37170,1702,B19013_001
SOLANO CO.,66828,1238,B19013_001
SONOMA CO.,64240,1224,B19013_001
STANISLAUS CO.,50125,718,B19013_001
SUTTER CO.,52017,1350,B19013_001
TEHAMA CO.,41001,2564,B19013_001
TRINITY CO.,34974,4081,B19013_001
TULARE CO.,42031,920,B19013_001
TUOLUMNE CO.,50306,2202,B19013_001
VENTURA CO.,77348,954,B19013_001
YOLO CO.,54989,1553,B19013_001
YUBA CO.,46892,1931,B19013_001
