name,estimate,moe
ANDERSON CO.2009,39355,2000
ANDREWS CO.2009,47227,2895
ANGELINA CO.2009,38862,1431
ARANSAS CO.2009,41172,3624
ARCHER CO.2009,51792,4413
ARMSTRONG CO.2009,58516,9343
ATASCOSA CO.2009,41178,2884
AUSTIN CO.2009,51086,3287
BAILEY CO.2009,35585,6224
BANDERA CO.2009,44244,4554
BASTROP CO.2009,50585,2640
BAYLOR CO.2009,32569,7535
BEE CO.2009,35759,4424
BELL CO.2009,46473,1178
BEXAR CO.2009,45688,392
BLANCO CO.2009,50225,8941
BORDEN CO.2009,55200,18016
BOSQUE CO.2009,44244,2250
BOWIE CO.2009,40569,1556
BRAZORIA CO.2009,62570,1358
BRAZOS CO.2009,34688,1143
BREWSTER CO.2009,34640,2389
BRISCOE CO.2009,31141,7028
BROOKS CO.2009,19425,2327
BROWN CO.2009,38531,2633
BURLESON CO.2009,39522,3882
BURNET CO.2009,46463,2082
CALDWELL CO.2009,41387,2926
CALHOUN CO.2009,43305,4131
CALLAHAN CO.2009,44470,3305
CAMERON CO.2009,30034,702
CAMP CO.2009,33891,2893
CARSON CO.2009,53425,4288
CASS CO.2009,36693,1468
CASTRO CO.2009,34849,5047
CHAMBERS CO.2009,60451,3553
CHEROKEE CO.2009,36571,1969
CHILDRESS CO.2009,34953,5482
CLAY CO.2009,51145,2607
COCHRAN CO.2009,34744,4919
COKE CO.2009,33375,5460
COLEMAN CO.2009,27538,3298
COLLIN CO.2009,80545,782
COLLINGSWORTH CO.2009,39524,7708
COLORADO CO.2009,39031,2919
COMAL CO.2009,63544,2177
COMANCHE CO.2009,34068,3214
CONCHO CO.2009,45625,8683
COOKE CO.2009,50030,2147
CORYELL CO.2009,45678,2202
COTTLE CO.2009,32009,4450
CRANE CO.2009,43185,6813
CROCKETT CO.2009,47143,8282
CROSBY CO.2009,34485,2616
CULBERSON CO.2009,38365,7712
DALLAM CO.2009,40714,5311
DALLAS CO.2009,47059,333
DAWSON CO.2009,33586,3325
DEAF SMITH CO.2009,38849,2625
DELTA CO.2009,41103,5165
DENTON CO.2009,70002,950
DEWITT CO.2009,37621,4130
DICKENS CO.2009,28750,4099
DIMMIT CO.2009,24268,5131
DONLEY CO.2009,36250,6132
DUVAL CO.2009,26117,5728
EASTLAND CO.2009,33149,2505
ECTOR CO.2009,44322,1318
EDWARDS CO.2009,34426,5434
ELLIS CO.2009,58809,1719
EL PASO CO.2009,35249,609
ERATH CO.2009,37729,1840
FALLS CO.2009,30502,2411
FANNIN CO.2009,42423,2703
FAYETTE CO.2009,44031,3130
FISHER CO.2009,37601,5202
FLOYD CO.2009,31588,4289
FOARD CO.2009,24861,4026
FORT BEND CO.2009,80638,1317
FRANKLIN CO.2009,42189,6630
FREESTONE CO.2009,44303,5248
FRIO CO.2009,34531,4799
GAINES CO.2009,47808,3800
GALVESTON CO.2009,54398,1370
GARZA CO.2009,31200,11974
GILLESPIE CO.2009,52403,3203
GLASSCOCK CO.2009,54000,6018
GOLIAD CO.2009,50486,5548
GONZALES CO.2009,37103,2698
GRAY CO.2009,36788,3017
GRAYSON CO.2009,45171,1502
GREGG CO.2009,42499,1344
GRIMES CO.2009,39403,4295
GUADALUPE CO.2009,59375,1885
HALE CO.2009,34820,1437
HALL CO.2009,29032,3027
HAMILTON CO.2009,37796,2867
HANSFORD CO.2009,46799,5441
HARDEMAN CO.2009,36385,6520
HARDIN CO.2009,52515,2526
HARRIS CO.2009,50569,296
HARRISON CO.2009,41966,2285
HARTLEY CO.2009,57083,10225
HASKELL CO.2009,32139,3764
HAYS CO.2009,52409,1806
HEMPHILL CO.2009,60435,12475
HENDERSON CO.2009,38632,1244
HIDALGO CO.2009,30076,692
HILL CO.2009,38159,2004
HOCKLEY CO.2009,45384,2679
HOOD CO.2009,52870,2392
HOPKINS CO.2009,39966,2415
HOUSTON CO.2009,31911,2840
HOWARD CO.2009,36931,3674
HUDSPETH CO.2009,28292,2834
HUNT CO.2009,42894,1757
HUTCHINSON CO.2009,41703,2807
IRION CO.2009,43536,6379
JACK CO.2009,43409,4189
JACKSON CO.2009,48509,3827
JASPER CO.2009,37020,2449
JEFF DAVIS CO.2009,39550,7630
JEFFERSON CO.2009,41420,931
JIM HOGG CO.2009,33635,5960
JIM WELLS CO.2009,32816,2942
JOHNSON CO.2009,53444,1553
JONES CO.2009,40947,2619
KARNES CO.2009,35101,6656
KAUFMAN CO.2009,55857,2575
KENDALL CO.2009,68389,6013
KENEDY CO.2009,25417,32301
KENT CO.2009,38092,7663
KERR CO.2009,43371,2376
KIMBLE CO.2009,42188,5440
KING CO.2009,48182,10729
KINNEY CO.2009,24024,6191
KLEBERG CO.2009,34652,6566
KNOX CO.2009,31926,3170
LAMAR CO.2009,37029,1593
LAMB CO.2009,35716,3408
LAMPASAS CO.2009,44301,4591
LA SALLE CO.2009,31838,4401
LAVACA CO.2009,41696,3109
LEE CO.2009,45161,4750
LEON CO.2009,38067,3111
LIBERTY CO.2009,44730,1955
LIMESTONE CO.2009,39119,2994
LIPSCOMB CO.2009,48646,4814
LIVE OAK CO.2009,41652,4788
LLANO CO.2009,42381,3704
LOVING CO.2009,81328,3022
LUBBOCK CO.2009,40467,1222
LYNN CO.2009,39148,8634
MCCULLOCH CO.2009,36495,6840
MCLENNAN CO.2009,40038,1086
MCMULLEN CO.2009,40550,7986
MADISON CO.2009,33952,5710
MARION CO.2009,30385,2775
MARTIN CO.2009,37463,9796
MASON CO.2009,37847,5987
MATAGORDA CO.2009,40307,2207
MAVERICK CO.2009,30123,3000
MEDINA CO.2009,46348,3059
MENARD CO.2009,31016,12206
MIDLAND CO.2009,52611,1791
MILAM CO.2009,37565,1834
MILLS CO.2009,34019,5988
MITCHELL CO.2009,43009,4072
MONTAGUE CO.2009,41677,2804
MONTGOMERY CO.2009,64971,1136
MOORE CO.2009,41862,2180
MORRIS CO.2009,37173,3588
MOTLEY CO.2009,33250,5865
NACOGDOCHES CO.2009,32487,1785
NAVARRO CO.2009,39555,2092
NEWTON CO.2009,36611,4709
NOLAN CO.2009,37481,2917
NUECES CO.2009,42356,1030
OCHILTREE CO.2009,48662,4600
OLDHAM CO.2009,48214,5984
ORANGE CO.2009,45608,2320
PALO PINTO CO.2009,39300,2101
PANOLA CO.2009,41309,2735
PARKER CO.2009,61415,1803
PARMER CO.2009,36698,3239
PECOS CO.2009,34466,2821
POLK CO.2009,32026,1847
POTTER CO.2009,34827,1134
PRESIDIO CO.2009,29492,6237
RAINS CO.2009,40873,6188
RANDALL CO.2009,54311,1302
REAGAN CO.2009,51619,2756
REAL CO.2009,29796,3620
RED RIVER CO.2009,38053,1638
REEVES CO.2009,33569,5053
REFUGIO CO.2009,39914,4834
ROBERTS CO.2009,59097,17374
ROBERTSON CO.2009,37941,3603
ROCKWALL CO.2009,80193,2069
RUNNELS CO.2009,37980,2837
RUSK CO.2009,44071,2054
SABINE CO.2009,32139,2797
SAN AUGUSTINE CO.2009,26660,1979
SAN JACINTO CO.2009,42043,2876
SAN PATRICIO CO.2009,43748,2137
SAN SABA CO.2009,35549,4946
SCHLEICHER CO.2009,52872,4253
SCURRY CO.2009,39665,3022
SHACKELFORD CO.2009,44429,3400
SHELBY CO.2009,31866,2911
SHERMAN CO.2009,40231,6066
SMITH CO.2009,45447,1222
SOMERVELL CO.2009,48566,9229
STARR CO.2009,21512,1990
STEPHENS CO.2009,34663,4287
STERLING CO.2009,38750,6116
STONEWALL CO.2009,46121,4843
SUTTON CO.2009,54557,5785
SWISHER CO.2009,35060,5305
TARRANT CO.2009,54647,418
TAYLOR CO.2009,40363,1495
TERRELL CO.2009,35900,12316
TERRY CO.2009,34310,4466
THROCKMORTON CO.2009,34239,5220
TITUS CO.2009,39750,1454
TOM GREEN CO.2009,40753,1475
TRAVIS CO.2009,54044,496
TRINITY CO.2009,36519,2872
TYLER CO.2009,33548,2809
UPSHUR CO.2009,42256,2237
UPTON CO.2009,42940,6301
UVALDE CO.2009,32331,2442
VAL VERDE CO.2009,34150,2304
