name,estimate
ANDERSON CO.1990,27752
ANDREWS CO.1990,31106
ANGELINA CO.1990,31157
ARANSAS CO.1990,29087
ARCHER CO.1990,31425
ARMSTRONG CO.1990,29270
ATASCOSA CO.1990,25746
AUSTIN CO.1990,31527
BAILEY CO.1990,27861
BANDERA CO.1990,31641
BASTROP CO.1990,28848
BAYLOR CO.1990,25084
BEE CO.1990,24406
BELL CO.1990,29690
BEXAR CO.1990,33648
BLANCO CO.1990,31175
BORDEN CO.1990,46293
BOSQUE CO.1990,27695
BOWIE CO.1990,30604
BRAZORIA CO.1990,39362
BRAZOS CO.1990,29765
BREWSTER CO.1990,27036
BRISCOE CO.1990,25104
BROOKS CO.1990,20335
BROWN CO.1990,25340
BURLESON CO.1990,24674
BURNET CO.1990,28799
CALDWELL CO.1990,26928
CALHOUN CO.1990,29171
CALLAHAN CO.1990,26639
CAMERON CO.1990,24858
CAMP CO.1990,25811
CARSON CO.1990,31424
CASS CO.1990,24650
CASTRO CO.1990,23707
CHAMBERS CO.1990,35334
CHEROKEE CO.1990,24849
CHILDRESS CO.1990,23935
CLAY CO.1990,28611
COCHRAN CO.1990,25827
COKE CO.1990,25044
COLEMAN CO.1990,21878
COLLIN CO.1990,56159
COLLINGSWORTH CO.1990,23060
COLORADO CO.1990,26784
COMAL CO.1990,35718
COMANCHE CO.1990,24085
CONCHO CO.1990,21584
COOKE CO.1990,30625
CORYELL CO.1990,27519
COTTLE CO.1990,24476
CRANE CO.1990,33004
CROCKETT CO.1990,28088
CROSBY CO.1990,24657
CULBERSON CO.1990,23146
DALLAM CO.1990,23252
DALLAS CO.1990,42432
DAWSON CO.1990,26494
DEAF SMITH CO.1990,28648
DELTA CO.1990,25100
DENTON CO.1990,42875
DEWITT CO.1990,25498
DICKENS CO.1990,20020
DIMMIT CO.1990,18329
DONLEY CO.1990,22466
DUVAL CO.1990,21318
EASTLAND CO.1990,21416
ECTOR CO.1990,30413
EDWARDS CO.1990,20925
ELLIS CO.1990,35938
EL PASO CO.1990,29723
ERATH CO.1990,27531
FALLS CO.1990,22844
FANNIN CO.1990,25802
FAYETTE CO.1990,26477
FISHER CO.1990,24852
FLOYD CO.1990,26045
FOARD CO.1990,22133
FORT BEND CO.1990,50968
FRANKLIN CO.1990,31650
FREESTONE CO.1990,27586
FRIO CO.1990,21117
GAINES CO.1990,28631
GALVESTON CO.1990,37024
GARZA CO.1990,25822
GILLESPIE CO.1990,29999
GLASSCOCK CO.1990,52187
GOLIAD CO.1990,29169
GONZALES CO.1990,25160
GRAY CO.1990,31610
GRAYSON CO.1990,31319
GREGG CO.1990,32282
GRIMES CO.1990,26658
GUADALUPE CO.1990,31859
HALE CO.1990,28891
HALL CO.1990,21797
HAMILTON CO.1990,26250
HANSFORD CO.1990,33046
HARDEMAN CO.1990,26334
HARDIN CO.1990,31157
HARRIS CO.1990,41391
HARRISON CO.1990,27984
HARTLEY CO.1990,38474
HASKELL CO.1990,24810
HAYS CO.1990,32524
HEMPHILL CO.1990,39408
HENDERSON CO.1990,27166
HIDALGO CO.1990,24181
HILL CO.1990,27081
HOCKLEY CO.1990,31975
HOOD CO.1990,38626
HOPKINS CO.1990,28960
HOUSTON CO.1990,26946
HOWARD CO.1990,28725
HUDSPETH CO.1990,23951
HUNT CO.1990,31440
HUTCHINSON CO.1990,30888
IRION CO.1990,31124
JACK CO.1990,28047
JACKSON CO.1990,26651
JASPER CO.1990,26250
JEFF DAVIS CO.1990,24730
JEFFERSON CO.1990,32352
JIM HOGG CO.1990,20697
JIM WELLS CO.1990,25178
JOHNSON CO.1990,34906
JONES CO.1990,25876
KARNES CO.1990,23280
KAUFMAN CO.1990,33414
KENDALL CO.1990,35900
KENEDY CO.1990,30282
KENT CO.1990,25267
KERR CO.1990,31592
KIMBLE CO.1990,28336
KING CO.1990,33210
KINNEY CO.1990,20335
KLEBERG CO.1990,28450
KNOX CO.1990,23224
LAMAR CO.1990,27243
LAMB CO.1990,25571
LAMPASAS CO.1990,28077
LA SALLE CO.1990,24012
LAVACA CO.1990,26336
LEE CO.1990,27820
LEON CO.1990,26145
LIBERTY CO.1990,28105
LIMESTONE CO.1990,25454
LIPSCOMB CO.1990,30356
LIVE OAK CO.1990,26745
LLANO CO.1990,27149
LOVING CO.1990,32218
LUBBOCK CO.1990,32401
LYNN CO.1990,27980
MCCULLOCH CO.1990,22397
MCLENNAN CO.1990,29629
MCMULLEN CO.1990,34799
MADISON CO.1990,26992
MARION CO.1990,22759
MARTIN CO.1990,29660
MASON CO.1990,20449
MATAGORDA CO.1990,31760
MAVERICK CO.1990,19081
MEDINA CO.1990,29091
MENARD CO.1990,22183
MIDLAND CO.1990,41980
MILAM CO.1990,27223
MILLS CO.1990,25113
MITCHELL CO.1990,24823
MONTAGUE CO.1990,25687
MONTGOMERY CO.1990,40674
MOORE CO.1990,32332
MORRIS CO.1990,26715
MOTLEY CO.1990,21472
NACOGDOCHES CO.1990,25858
NAVARRO CO.1990,27897
NEWTON CO.1990,21327
NOLAN CO.1990,25781
NUECES CO.1990,32857
OCHILTREE CO.1990,36413
OLDHAM CO.1990,35070
ORANGE CO.1990,31667
PALO PINTO CO.1990,25936
PANOLA CO.1990,28118
PARKER CO.1990,36400
PARMER CO.1990,27110
PECOS CO.1990,27898
POLK CO.1990,25629
POTTER CO.1990,26291
PRESIDIO CO.1990,18208
RAINS CO.1990,27439
RANDALL CO.1990,39571
REAGAN CO.1990,33749
REAL CO.1990,20657
RED RIVER CO.1990,21238
REEVES CO.1990,23477
REFUGIO CO.1990,28348
ROBERTS CO.1990,40264
