name,estimate,moe
ALAMEDA CO.2012,71516,707
ALPINE CO.2012,59931,9424
AMADOR CO.2012,53462,3001
BUTTE CO.2012,43339,1138
CALAVERAS CO.2012,54686,2615
COLUSA CO.2012,52165,3165
CONTRA COSTA CO.2012,78187,1082
DEL NORTE CO.2012,39626,4223
EL DORADO CO.2012,70117,1932
FRESNO CO.2012,45741,646
GLENN CO.2012,42641,4980
HUMBOLDT CO.2012,40830,1524
IMPERIAL CO.2012,41255,1301
INYO CO.2012,45000,2771
KERN CO.2012,47727,855
KINGS CO.2012,48761,1255
LAKE CO.2012,38147,2086
LASSEN CO.2012,51921,3072
LOS ANGELES CO.2012,56241,266
MADERA CO.2012,47937,1911
MARIN CO.2012,90962,2189
MARIPOSA CO.2012,52584,5844
MENDOCINO CO.2012,43721,2226
MERCED CO.2012,43565,1385
MODOC CO.2012,37482,2172
MONO CO.2012,61868,9290
MONTEREY CO.2012,60143,1081
NAPA CO.2012,69571,1746
NEVADA CO.2012,57382,2013
ORANGE CO.2012,75566,417
PLACER CO.2012,73356,1244
PLUMAS CO.2012,45358,2713
RIVERSIDE CO.2012,57096,485
SACRAMENTO CO.2012,55846,506
SAN BENITO CO.2012,63939,2603
SAN BERNARDINO CO.2012,54750,428
SAN DIEGO CO.2012,63373,437
SAN FRANCISCO CO.2012,73802,1026
SAN JOAQUIN CO.2012,53895,721
SAN LUIS OBISPO CO.2012,59628,1422
SAN MATEO CO.2012,87751,1114
SANTA BARBARA CO.2012,62723,1074
SANTA CLARA CO.2012,90747,721
SANTA CRUZ CO.2012,66571,2126
SHASTA CO.2012,44396,1074
SIERRA CO.2012,42500,9534
SISKIYOU CO.2012,37948,1640
SOLANO CO.2012,69006,1351
SONOMA CO.2012,63565,911
STANISLAUS CO.2012,49866,817
SUTTER CO.2012,50510,1655
TEHAMA CO.2012,40307,1475
TRINITY CO.2012,36569,3475
TULARE CO.2012,43803,776
TUOLUMNE CO.2012,48169,2203
VENTURA CO.2012,76483,852
YOLO CO.2012,57260,1807
YUBA CO.2012,46641,2644
