name,estimate
ALAMEDA CO.1990,45995
ALPINE CO.1990,33349
AMADOR CO.1990,36729
BUTTE CO.1990,30168
CALAVERAS CO.1990,34128
COLUSA CO.1990,35749
CONTRA COSTA CO.1990,55033
DEL NORTE CO.1990,29854
EL DORADO CO.1990,41910
FRESNO CO.1990,35195
GLENN CO.1990,29533
HUMBOLDT CO.1990,30985
IMPERIAL CO.1990,30303
INYO CO.1990,31510
KERN CO.1990,35633
KINGS CO.1990,31994
LAKE CO.1990,28193
LASSEN CO.1990,31644
LOS ANGELES CO.1990,47252
MADERA CO.1990,33242
MARIN CO.1990,67828
MARIPOSA CO.1990,31295
MENDOCINO CO.1990,33306
MERCED CO.1990,33606
MODOC CO.1990,27962
MONO CO.1990,39562
MONTEREY CO.1990,43185
NAPA CO.1990,46552
NEVADA CO.1990,39662
ORANGE CO.1990,57302
PLACER CO.1990,46161
PLUMAS CO.1990,30040
RIVERSIDE CO.1990,41493
SACRAMENTO CO.1990,39720
SAN BENITO CO.1990,44186
SAN BERNARDINO CO.1990,40055
SAN DIEGO CO.1990,44375
SAN FRANCISCO CO.1990,45664
SAN JOAQUIN CO.1990,37610
SAN LUIS OBISPO CO.1990,39565
SAN MATEO CO.1990,59521
SANTA BARBARA CO.1990,47248
SANTA CLARA CO.1990,57913
SANTA CRUZ CO.1990,46885
SHASTA CO.1990,32210
SIERRA CO.1990,31850
SISKIYOU CO.1990,29025
SOLANO CO.1990,43598
SONOMA CO.1990,44331
STANISLAUS CO.1990,37065
SUTTER CO.1990,35507
TEHAMA CO.1990,28521
TRINITY CO.1990,26994
TULARE CO.1990,32126
TUOLUMNE CO.1990,34528
VENTURA CO.1990,54208
YOLO CO.1990,37556
YUBA CO.1990,28023
ALAMEDA CO.2000,72629
ALPINE CO.2000,60672
AMADOR CO.2000,54779
BUTTE CO.2000,44069
CALAVERAS CO.2000,52586
COLUSA CO.2000,45037
CONTRA COSTA CO.2000,83675
DEL NORTE CO.2000,39136
EL DORADO CO.2000,67083
FRESNO CO.2000,47858
GLENN CO.2000,39809
HUMBOLDT CO.2000,41746
IMPERIAL CO.2000,43494
INYO CO.2000,44932
KERN CO.2000,47107
KINGS CO.2000,48709
LAKE CO.2000,39798
LASSEN CO.2000,44441
LOS ANGELES CO.2000,61811
MADERA CO.2000,48050
MARIN CO.2000,108756
MARIPOSA CO.2000,44764
MENDOCINO CO.2000,49512
MERCED CO.2000,46185
MODOC CO.2000,42298
MONO CO.2000,57409
MONTEREY CO.2000,63944
NAPA CO.2000,70985
NEVADA CO.2000,59430
ORANGE CO.2000,77543
PLACER CO.2000,73332
PLUMAS CO.2000,44582
RIVERSIDE CO.2000,56000
SACRAMENTO CO.2000,56046
SAN BENITO CO.2000,68841
SAN BERNARDINO CO.2000,53064
SAN DIEGO CO.2000,63204
SAN FRANCISCO CO.2000,80325
SAN JOAQUIN CO.2000,52852
SAN LUIS OBISPO CO.2000,55550
SAN MATEO CO.2000,98874
SANTA BARBARA CO.2000,65782
SANTA CLARA CO.2000,96187
SANTA CRUZ CO.2000,72455
SHASTA CO.2000,45204
SIERRA CO.2000,43798
SISKIYOU CO.2000,41501
SOLANO CO.2000,64228
SONOMA CO.2000,67258
STANISLAUS CO.2000,51437
SUTTER CO.2000,50131
TEHAMA CO.2000,41446
TRINITY CO.2000,38435
TULARE CO.2000,45974
TUOLUMNE CO.2000,50038
VENTURA CO.2000,75130
YOLO CO.2000,53944
YUBA CO.2000,40459
ALAMEDA CO.2009,68863
ALPINE CO.2009,54605
AMADOR CO.2009,57347
BUTTE CO.2009,42002
CALAVERAS CO.2009,57676
COLUSA CO.2009,47150
CONTRA COSTA CO.2009,77838
DEL NORTE CO.2009,38408
EL DORADO CO.2009,70765
FRESNO CO.2009,46230
GLENN CO.2009,40973
HUMBOLDT CO.2009,39124
IMPERIAL CO.2009,37595
INYO CO.2009,44952
KERN CO.2009,46216
KINGS CO.2009,46595
LAKE CO.2009,41182
LASSEN CO.2009,48653
LOS ANGELES CO.2009,54828
MADERA CO.2009,46083
MARIN CO.2009,87728
MARIPOSA CO.2009,47808
MENDOCINO CO.2009,43404
MERCED CO.2009,43848
MODOC CO.2009,34007
MONO CO.2009,51970
MONTEREY CO.2009,59693
NAPA CO.2009,68416
NEVADA CO.2009,58186
ORANGE CO.2009,73738
PLACER CO.2009,73550
PLUMAS CO.2009,44727
RIVERSIDE CO.2009,58155
SACRAMENTO CO.2009,56799
SAN BENITO CO.2009,68567
SAN BERNARDINO CO.2009,55461
SAN DIEGO CO.2009,62901
SAN FRANCISCO CO.2009,70040
SAN JOAQUIN CO.2009,54540
SAN LUIS OBISPO CO.2009,55555
SAN MATEO CO.2009,84426
SANTA BARBARA CO.2009,59350
SANTA CLARA CO.2009,85569
SANTA CRUZ CO.2009,64349
SHASTA CO.2009,44755
SIERRA CO.2009,53750
SISKIYOU CO.2009,37938
SOLANO CO.2009,67920
SONOMA CO.2009,63848
STANISLAUS CO.2009,51529
SUTTER CO.2009,52155
TEHAMA CO.2009,36949
TRINITY CO.2009,35551
TULARE CO.2009,43164
TUOLUMNE CO.2009,48354
VENTURA CO.2009,74828
YOLO CO.2009,56232
YUBA CO.2009,46410
ALAMEDA CO.2010,69384
ALPINE CO.2010,63478
AMADOR CO.2010,54758
BUTTE CO.2010,43170
CALAVERAS CO.2010,54971
COLUSA CO.2010,48016
CONTRA COSTA CO.2010,78385
DEL NORTE CO.2010,36118
EL DORADO CO.2010,70000
FRESNO CO.2010,46430
GLENN CO.2010,43074
HUMBOLDT CO.2010,40089
IMPERIAL CO.2010,38685
INYO CO.2010,44808
KERN CO.2010,47089
KINGS CO.2010,48684
LAKE CO.2010,39491
LASSEN CO.2010,50317
LOS ANGELES CO.2010,55476
MADERA CO.2010,46039
MARIN CO.2010,89268
MARIPOSA CO.2010,49098
MENDOCINO CO.2010,43759
MERCED CO.2010,43844
MODOC CO.2010,34588
MONO CO.2010,55087
MONTEREY CO.2010,59271
NAPA CO.2010,67389
NEVADA CO.2010,57121
ORANGE CO.2010,74344
PLACER CO.2010,74447
PLUMAS CO.2010,44000
RIVERSIDE CO.2010,57768
SACRAMENTO CO.2010,56439
SAN BENITO CO.2010,65771
SAN BERNARDINO CO.2010,55845
SAN DIEGO CO.2010,63069
SAN FRANCISCO CO.2010,71304
SAN JOAQUIN CO.2010,54341
SAN LUIS OBISPO CO.2010,57365
SAN MATEO CO.2010,85648
SANTA BARBARA CO.2010,60078
SANTA CLARA CO.2010,86850
SANTA CRUZ CO.2010,65253
SHASTA CO.2010,43944
SIERRA CO.2010,52950
SISKIYOU CO.2010,36981
SOLANO CO.2010,68409
SONOMA CO.2010,63274
STANISLAUS CO.2010,51094
SUTTER CO.2010,50944
TEHAMA CO.2010,38137
TRINITY CO.2010,38725
TULARE CO.2010,43851
TUOLUMNE CO.2010,47462
VENTURA CO.2010,75348
YOLO CO.2010,57077
YUBA CO.2010,46807
ALAMEDA CO.2011,70821
ALPINE CO.2011,59018
AMADOR CO.2011,56180
BUTTE CO.2011,42971
CALAVERAS CO.2011,55256
COLUSA CO.2011,49558
CONTRA COSTA CO.2011,79135
DEL NORTE CO.2011,37588
EL DORADO CO.2011,68815
FRESNO CO.2011,46903
GLENN CO.2011,43239
HUMBOLDT CO.2011,40376
IMPERIAL CO.2011,39402
INYO CO.2011,49571
KERN CO.2011,48021
KINGS CO.2011,48838
LAKE CO.2011,39525
LASSEN CO.2011,52484
LOS ANGELES CO.2011,56266
MADERA CO.2011,47724
MARIN CO.2011,89605
MARIPOSA CO.2011,49174
MENDOCINO CO.2011,44527
MERCED CO.2011,43945
MODOC CO.2011,35402
MONO CO.2011,60469
MONTEREY CO.2011,59737
NAPA CO.2011,68641
NEVADA CO.2011,58077
ORANGE CO.2011,75762
PLACER CO.2011,74645
PLUMAS CO.2011,44151
RIVERSIDE CO.2011,58365
