name,estimate,moe
ANDERSON CO.,41471,2370
ANDREWS CO.,55327,4607
ANGELINA CO.,40150,1838
ARANSAS CO.,44769,3605
ARCHER CO.,56250,5436
ARMSTRONG CO.,56974,8939
ATASCOSA CO.,45702,3700
AUSTIN CO.,51340,3822
BAILEY CO.,41075,4381
BANDERA CO.,47927,3964
BASTROP CO.,52516,2918
BAYLOR CO.,34688,4565
BEE CO.,40707,2875
BELL CO.,50085,1206
BEXAR CO.,49141,517
BLANCO CO.,46881,4964
BORDEN CO.,69688,16817
BOSQUE CO.,44860,2303
BOWIE CO.,42346,1396
BRAZORIA CO.,68008,1902
BRAZOS CO.,37638,1175
BREWSTER CO.,40086,3342
BRISCOE CO.,35078,5483
BROOKS CO.,21445,3685
BROWN CO.,40821,1810
BURLESON CO.,43976,4768
BURNET CO.,49047,2182
CALDWELL CO.,43393,2868
CALHOUN CO.,45122,2774
CALLAHAN CO.,46812,2416
CAMERON CO.,32558,730
CAMP CO.,36495,1968
CARSON CO.,60813,5595
CASS CO.,35932,2177
CASTRO CO.,35301,5294
CHAMBERS CO.,75200,4278
CHEROKEE CO.,37508,2172
CHILDRESS CO.,44455,9977
CLAY CO.,54298,2872
COCHRAN CO.,40406,4017
COKE CO.,40844,3723
COLEMAN CO.,30690,3087
COLLIN CO.,83238,1087
COLLINGSWORTH CO.,41940,7502
COLORADO CO.,43273,3026
COMAL CO.,63480,3138
COMANCHE CO.,36599,3352
CONCHO CO.,50278,9874
COOKE CO.,49735,2145
CORYELL CO.,50104,1926
COTTLE CO.,34770,5141
CRANE CO.,49974,6880
CROCKETT CO.,49850,7990
CROSBY CO.,36768,2696
CULBERSON CO.,33500,6458
DALLAM CO.,42781,6583
DALLAS CO.,49159,394
DAWSON CO.,40152,4251
DEAF SMITH CO.,42577,2849
DELTA CO.,41406,4572
DENTON CO.,72939,1129
DEWITT CO.,45457,2759
DICKENS CO.,33950,4235
DIMMIT CO.,32960,8561
DONLEY CO.,41875,6994
DUVAL CO.,35167,4790
EASTLAND CO.,35044,2548
ECTOR CO.,50851,1921
EDWARDS CO.,41613,8734
ELLIS CO.,62832,1478
EL PASO CO.,39699,621
ERATH CO.,40176,2267
FALLS CO.,33744,2153
FANNIN CO.,43382,1864
FAYETTE CO.,45478,3704
FISHER CO.,42900,5452
FLOYD CO.,35323,5023
FOARD CO.,32443,9549
FORT BEND CO.,84211,1572
FRANKLIN CO.,45684,7627
FREESTONE CO.,45510,5430
FRIO CO.,38161,4253
GAINES CO.,50850,4074
GALVESTON CO.,61555,1324
GARZA CO.,41750,15237
GILLESPIE CO.,55017,2891
GLASSCOCK CO.,76563,15577
GOLIAD CO.,50635,3172
GONZALES CO.,39115,2740
GRAY CO.,44455,2760
GRAYSON CO.,46587,1894
GREGG CO.,45233,1510
GRIMES CO.,43810,3714
GUADALUPE CO.,63889,2018
HALE CO.,40521,2234
HALL CO.,32097,4507
HAMILTON CO.,39709,3873
HANSFORD CO.,49626,2924
HARDEMAN CO.,35332,6330
HARDIN CO.,54275,2617
HARRIS CO.,53160,340
HARRISON CO.,46718,2503
HARTLEY CO.,63407,7941
HASKELL CO.,40247,5053
HAYS CO.,57834,1616
HEMPHILL CO.,53295,5330
HENDERSON CO.,41100,1495
HIDALGO CO.,33218,611
HILL CO.,39405,2065
HOCKLEY CO.,51054,3076
HOOD CO.,54902,1986
HOPKINS CO.,42257,2497
HOUSTON CO.,32859,2129
HOWARD CO.,43393,3174
HUDSPETH CO.,22083,2737
HUNT CO.,45170,1852
HUTCHINSON CO.,46677,2501
IRION CO.,48646,10894
JACK CO.,43902,6715
JACKSON CO.,47591,3507
JASPER CO.,40603,2530
JEFF DAVIS CO.,49375,4304
JEFFERSON CO.,43750,843
JIM HOGG CO.,36919,5524
JIM WELLS CO.,40723,2302
JOHNSON CO.,57016,1443
JONES CO.,38896,3080
KARNES CO.,39706,5036
KAUFMAN CO.,61564,2357
KENDALL CO.,71553,5987
KENEDY CO.,37206,17710
KENT CO.,38750,13333
KERR CO.,43849,2075
KIMBLE CO.,46786,5149
KING CO.,63750,22560
KINNEY CO.,34083,7348
KLEBERG CO.,38058,3247
KNOX CO.,33667,2845
LAMAR CO.,39630,1892
LAMB CO.,35265,2404
LAMPASAS CO.,47968,3739
LA SALLE CO.,26731,6255
LAVACA CO.,42934,3094
LEE CO.,50860,4556
LEON CO.,43534,3816
LIBERTY CO.,48408,2334
LIMESTONE CO.,40213,2312
LIPSCOMB CO.,56131,4668
LIVE OAK CO.,42182,4986
LLANO CO.,45533,5840
LOVING CO.,39375,44686
LUBBOCK CO.,43993,899
LYNN CO.,45066,6063
MCCULLOCH CO.,36560,4531
MCLENNAN CO.,41589,1157
MCMULLEN CO.,38438,13755
MADISON CO.,41202,5479
MARION CO.,32226,4245
MARTIN CO.,41964,8418
MASON CO.,44408,8625
MATAGORDA CO.,43146,3192
MAVERICK CO.,30959,1662
MEDINA CO.,52206,3016
MENARD CO.,35048,6927
MIDLAND CO.,59391,1650
MILAM CO.,39170,3519
MILLS CO.,34984,8467
MITCHELL CO.,41082,7479
MONTAGUE CO.,45287,2233
MONTGOMERY CO.,66422,1107
MOORE CO.,48489,3175
MORRIS CO.,39122,3498
MOTLEY CO.,35313,3914
NACOGDOCHES CO.,35641,1565
NAVARRO CO.,41511,1357
NEWTON CO.,38574,4892
NOLAN CO.,37671,2232
NUECES CO.,46499,1253
OCHILTREE CO.,50881,3165
OLDHAM CO.,50993,5467
ORANGE CO.,48864,2947
PALO PINTO CO.,43041,2158
PANOLA CO.,50508,2762
PARKER CO.,65299,1878
PARMER CO.,44925,3508
PECOS CO.,43529,3315
POLK CO.,37194,2036
POTTER CO.,37848,1468
PRESIDIO CO.,29400,5821
RAINS CO.,45099,4970
RANDALL CO.,57509,1648
REAGAN CO.,55968,7076
REAL CO.,31713,3892
RED RIVER CO.,34430,2704
REEVES CO.,39577,6737
REFUGIO CO.,42589,4442
ROBERTS CO.,64688,11536
ROBERTSON CO.,40711,3122
ROCKWALL CO.,82725,3431
RUNNELS CO.,39115,4581
RUSK CO.,46220,2363
SABINE CO.,33053,2783
SAN AUGUSTINE CO.,27580,2706
SAN JACINTO CO.,46413,4248
SAN PATRICIO CO.,51104,3016
SAN SABA CO.,37230,4417
SCHLEICHER CO.,50417,11501
SCURRY CO.,46340,4655
SHACKELFORD CO.,46181,6827
SHELBY CO.,35732,2374
SHERMAN CO.,47500,6582
SMITH CO.,47312,1314
SOMERVELL CO.,51618,5321
STARR CO.,24653,1519
STEPHENS CO.,38424,5151
STERLING CO.,44239,11227
STONEWALL CO.,52917,10716
SUTTON CO.,62321,8021
SWISHER CO.,40227,4149
TARRANT CO.,56859,511
TAYLOR CO.,44372,1241
TERRELL CO.,37750,13237
TERRY CO.,35537,3559
THROCKMORTON CO.,41019,4561
TITUS CO.,40909,1909
TOM GREEN CO.,44310,1456
TRAVIS CO.,56403,803
TRINITY CO.,37223,4089
TYLER CO.,36785,2886
UPSHUR CO.,45696,2565
UPTON CO.,52042,5961
UVALDE CO.,34110,2968
VAL VERDE CO.,40509,1699
VAN ZANDT CO.,42668,1712
VICTORIA CO.,50097,1801
WALKER CO.,38654,2302
WALLER CO.,51576,3060
WARD CO.,40222,3312
WASHINGTON CO.,44162,3673
WEBB CO.,38421,1021
WHARTON CO.,40988,3079
WHEELER CO.,49615,4130
WICHITA CO.,45589,1212
WILBARGER CO.,42271,5422
WILLACY CO.,26369,3349
WILLIAMSON CO.,70849,1558
WILSON CO.,62870,2536
WINKLER CO.,47167,4897
WISE CO.,55492,2577
WOOD CO.,42404,2172
YOAKUM CO.,48611,7534
YOUNG CO.,42008,5770
ZAPATA CO.,28617,3326
ZAVALA CO.,25206,2470
