EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,STORM_ORDER,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,INCOME_ESTIMATE
260682,ANDERSON CO.,PALESTINE,10/23/2010,1715,Thunderstorm Wind,69,1,0,0,400000,0,TX,CST-6,EG,44965,C,1,FWD,0,0,Emergency Manager, , , ,1,N,1,N,PALESTINE,31.7626,-95.6316,31.7626,-95.6316,"Significant tree damage occurred in Palestine with several large trees falling on roofs. Some trees also fell on cars causing significant damage. The newspaper also reported that several metal portable buildings were blown onto the east loop, and the roof was blown off The Silver Lady on West Oak Street in downtown Palestine. The store sustained significant damage to the interior.  Thousands of residents lost power during and after the storm.","A large area of showers and thunderstorms developed ahead of an approaching shortwave trough from the Big Bend area of Texas. Most of the severe weather occurred in a convective line across the southeastern half of north Texas. A brief tornado damaged a home in east Fort Worth, and significant wind damage occurred in the Palestine area.",296,,
120605,ANDREWS CO.,ANDREWS,6/17/2008,2320,Thunderstorm Wind,55,1,0,0,200000,0,TX,CST-6,MG,16513,C,3,MAF,0,0,Mesonet, , , ,0,N,0,N,ANDREWS,32.32,-102.55,32.32,-102.55,Widespread wind damage occurred throughout Andrews. The West Texas Mesonet site measured a peak gust of 55 knots. Numerous powerline poles were downed by these winds. Two hanger doors wers blown inward at the Andrews Airport. Two commercial roofs were torn off and a convenience store awning collapsed.,A line of thunderstorms moving southward out of the South Plains produced damaging outflow winds and large hail across a large portion of the Texas Permian Basin during the late Tuesday evening and overnight early Wednesday morning.,468,,
5635524,ANGELINA CO.,LUFKIN,2/10/1998,1332,Thunderstorm Wind,75,2,0,0,2500000,0,TX,CST, ,1056640,C,5,SHV,0,0, , , , , , , , ,LUFKIN,31.35,-94.73,31.35,-94.73,Winds were recorded at the Lufkin Airport.  Reports of 150 power poles were toppled with numerous trees across homes and vehicles.,,67,,
71085,ANGELINA CO.,LUFKIN,12/20/2007,255,Thunderstorm Wind,58,3,0,0,200000,0,TX,CST-6,EG,12887,C,5,SHV,0,0,Newspaper, , , ,1,S,1,S,LUFKIN,31.33,-94.73,31.33,-94.73,"Half a dozen trees and several powerlines were downed in the Brookhollow and Mantooth neighboorhoods in Lufkin, Texas.  One tree fell on top of an automobile. a local church had two large plate glass windows blown inward by the winds.  Parts of air conditioning units were also blown off the roof of the Angelina Village and the Lufkin Mall.  The winds also peeled off a metal roof of a rectory at the St. Andrew Church.  With the roof gone, rain quickly soaked and collapsed the ceilings into the interior of the home.","A warm front moved northward during the day of  12/19 and became stationary near the Arkansas/Louisiana border.  An upper level storm system approached the region from the southern plains and provided the dynamics needed for scattered to numerous showers and thunderstorms to form across all of northeast Texas, southeast Oklahoma, southwest Arkansas and northwest Louisiana.  During the late evening hours of 12/19...the storms initially were elevated in nature...producing large hail.  Towards the overnight and predawn hours of 12/20...the storms across deep east Texas and west central Louisiana became more surface based producing strong and damaging wind gusts.",463,,
293863,ANGELINA CO.,POLLOK,4/25/2011,2035,Thunderstorm Wind,78,4,0,0,250000,0,TX,CST-6,EG,49481,C,5,SHV,0,0,NWS Storm Survey, , , ,3,W,3,W,POLLOK,31.47,-94.9309,31.47,-94.9309,"A 2 mile swath of severe wind damage in association with the rear flank downdraft from the Wells, Texas tornado.  Minor roof damage occurred to homes along FM. 1819.  The old Redtown School and Senior Citizen Center lost portions of their metal roofs.  A barn and several outbuildings on Choppin Road lost their roofs.  Hundreds of trees were blown down from Redtown to Pollock along FM 1819...Hwy. 103...Hwy. 7 and Hwy. 69.  Winds were estimated from 90 to 110 mph.  Width of damage was 2 miles wide.","A stationary frontal boundary remained anchored across north Texas into eastern Oklahoma during the morning hours and throughout the day of April 25th. The areas to the south and east of the frontal boundary remained moderately unstable with very strong shear in the lower levels of the atmosphere as well as the mid levels of the atmosphere. The combination of strong shear, good instability along with an upper level disturbance moving across the southern plains resulted in an outbreak of strong to severe thunderstorms. Some of these storms produced large hail, damaging thunderstorm wind gusts and isolated tornadoes.",396,,
279533,ARANSAS CO.,ROCKPORT,1/9/2011,429,Thunderstorm Wind,78,1,0,0,400000,0,TX,CST-6,EG,47825,C,7,CRP,0,0,Trained Spotter, , , ,2,WNW,1,N,ROCKPORT,28.0298,-97.0877,28.029,-97.0505,Wood roof and awning of home blown completely off. Part of the roof blown into roof of nearby house. One snapped tree limb blown through wall of house. Roof damage and trees uprooted along a two mile path from Live Oak Elementary school to the intersection of Nopal and Austin Streets.,"A cold front moved through South Texas on Saturday morning, January 8, 2011 and was situated over Deep South Texas Saturday afternoon, with temperatures generally in the 50s area-wide. However as the storm system approached, a surface low pressure area formed along the frontal boundary, which helped to draw warm and humid conditions northward into the Coastal Bend. ||As the upper level storm system moved through the region, very strong wind shear developed and combined with an unstable atmosphere to produce a line of severe thunderstorms. A tornadic thunderstorm developed near the proximity of the surface low and retreating warm front, which persisted for over 20 miles travelling from just southeast of Alice to near Calallen. Damaging straight line winds affected most of the Coastal Bend and extended well into the Gulf of Mexico east of Rockport. Widespread wind damage was observed across the Coastal Bend as the storms moved quickly through the region. Approximately 30,000 customers lost power as a result of the storms. This marks the first time a tornado has been recorded in South Texas in the month of January, dating back to 1950. Property damage for the tornado and straight-line winds for the Coastal Bend was estimated to be around 10 million dollars.  ||From Calallen through Portland and Rockport, doppler radar indicated a broad, yet strong rotation between 4 and 430 AM CST. A NWS storm survey concluded straight-line winds between 70 and 90 mph occurred along this path. A path length of damage of nearly 65 miles was observed from the starting point of the tornado in Jim Wells County to the end of the straight-line wind damage in Rockport. ||Further north, doppler radar indicated another bowing segment in the line across  Victoria and Calhoun Counties between 400 and 500 AM CST. The Seadrift TCOON site recorded a wind gust of 70 mph. A NWS storm survey team concluded straight line wind speeds of around 70 mph occurred from rural southern Victoria County to Seadrift in southwestern Calhoun County.",297,"May 3 Severe Thunderstorm Event Summary...Severe thunderstorms initially developed over the central South Plains region during the late afternoon hours of the 3rd. This activity produced large hail as it affected portions of Lubbock and Crosby Counties. Additional high based thunderstorm activity developed in drier air to the west of the Interstate 27 corridor. This convection caused significant wind damage in Anton (Hockley County) before it evolved into a complex that produced damaging winds and large hail over a large swath of the central South Plains, generally north of Lubbock. Meanwhile, two large high-precipitation supercell storms developed over the four-county area of Crosby, Dickens, Kent, and Garza Counties. These storm additionally produced damaging winds and giant hail. Estimates of property and agricultural damages across the region totaled more than $670,000.",
387120,ARANSAS CO.,HOLIDAY BEACH,5/10/2012,2207,Thunderstorm Wind,70,2,0,0,250000,0,TX,CST-6,EG,64371,C,7,CRP,0,0,NWS Storm Survey, , , ,1,WSW,0,NNE,HOLIDAY BEACH,28.1669,-97.0174,28.1744,-96.9983,NWS storm survey determined straight-line winds of approximately 70 to 80 mph struck Belaire Drive in Holiday Beach. The roof was blown off of one home which impacted 2 other homes and caused extensive damage.,"A strongly unstable air mass developed over South Texas in advance of a stalled frontal boundary over south-central Texas on May 10th. As a strong upper level low pressure system over northern Mexico approached the region providing strong shear in the atmosphere, an outbreak of supercell thunderstorms occurred across South Texas producing an unprecedented 16 tornadoes. The number of tornadoes is a record for a single day for a non-tropical event in South Texas. All of the tornadoes were weak with the strongest tornado collapsing a grain elevator west of Taft and damaging several homes in a subdivision north of Taft in the evening.||Severe storms started early in the morning in the western Brush Country. Several long track supercell storms moved across the Brush Country and portions of the Coastal Bend during the day. Most of the tornadoes occurred with these storms in the afternoon and early evening. The storms evolved into a large squall line that moved across the Coastal Plains during the evening hours. The squall line produced winds of 70 to 90 mph causing extensive tree damage and localized property damage. The episode of severe weather ended over the Gulf of Mexico after midnight. Damage estimates from the severe weather episode were in the millions of dollars for South Texas.||Several storms moved across the same area for hours during the event. Very heavy rainfall produced flash flooding near Cotulla and in the cities of Kingsville, Beeville, and Freer.",403,,
5388009,ARCHER CO.,LAKE KICKAPOO,3/4/2004,1254,Thunderstorm Wind,69,1,0,0,500000,0,TX,CST,EG,1166953,C,9,OUN,0,0,NEWSPAPER, , , , , , , ,LAKE KICKAPOO,33.65,-98.78,33.65,-98.78,"Most of the damage in this area was sustained on the north side of the lake. All of the siding was ripped off one home, while the roof on a new two-story home flew off and destroyed a shed. Boats were scattered along the roadside in places far from the lake. A boat dock was also moved many yards. Power lines were downed. In all it was estimated that 31 homes sustained damage, mostly to the rooftops.",,248,,
5388010,ARCHER CO.,HOLLIDAY,3/4/2004,1303,Thunderstorm Wind,69,2,0,0,250000,0,TX,CST,EG,1166953,C,9,OUN,0,0,NEWSPAPER, , , , , , , ,HOLLIDAY,33.8,-98.7,33.8,-98.7,The Holliday School sustained heavy damage. The south wall of the gym collapsed. A building that was used to store football equipment was destroyed. The restroom next to the football field also lost part of its roof. Extensive damage was seen on the softball field. Debris scattered across the parking lot damaging student and faculty vehicles.,,368,,
459394,ARMSTRONG CO.,WASHBURN,5/28/2013,1620,Thunderstorm Wind,52,1,0,0,500000,0,TX,CST-6,EG,76143,C,11,AMA,0,0,Emergency Manager, , , ,1,W,1,W,WASHBURN,35.18,-101.6,35.18,-101.6,A decaying thunderstorm produced a localized downburst on US Highway 287 about 5 miles east of the Interstate 40 and US Highway 287 split (Armstrong County). A tractor trailer that was traveling on US Highway 287 was hit by this downburst and was blown over. No Injuries were relayed with this report from the Armstrong County Emergency Manager.,"A severe weather outbreak brought hail, damaging winds, tornadoes, and flash flooding to the Panhandles from the afternoon of the 28th into the early morning hours of the 29th. The morning upper air analysis on the 28th showed a mid-level shortwave trough rotating around the base of a longwave trough situated from Idaho to Arizona. At the surface, a dryline was situated from the northeastern Oklahoma Panhandle to the southwestern Texas Panhandle. The 6 AM CST upper air sounding from Amarillo showed a low level capping inversion with significant elevated instability. Also deep layer shear was primed for the development of discrete supercells. On the 12 PM CST sounding, instability values had increased further. By noon, the northern portion of the dryline had moved into south central Kansas before stretching back into the southwestern Texas Panhandle. ||By the late afternoon, across Potter and Randall Counties, the dryline had advanced into the western portions of both counties allowing showers and thunderstorms, which moved northeastward along dryline, to produce damaging wind gusts in the Amarillo (Potter and Randall County) area. These thunderstorm wind gusts blew a communication tower and billboard down at the Texas Blue Lake Pools in Amarillo (Randall County). Also a main communication tower for High Plains Radio was damaged which ended the broadcast for several of their across the Texas Panhandle radio stations. The Amarillo Police Department blocked off an area near the intersection of Osage Road and SE 27th Ave due to downed power lines and debris.  As the dryline moved into the eastern portions of Potter and Randall Counties during the early evening, thunderstorms over the Amarillo area were cut off from moist inflows and decayed quickly. The extremely dry near surface air evaporated precipitation from the decaying storms causing non-thunderstorm high winds across the Amarillo area. These high winds blew the roof off the River Road ISD field house (Randall County) and downed power lines across the city. Xcel Energy reported nearly 6500 people lost power from the combination of thunderstorm and non-thunderstorm wind gusts, and 4000 people would remain without power until the 29th as power lines and poles were repaired or replaced.   ||During the late evening the dryline began to retreat westward as the nocturnal low level jet transported moisture from the Gulf of Mexico northwestward. As the dryline retreated across Oldham and Deaf Smith Counties, a near stationary discrete supercell formed and produced two short lived tornadoes in Deaf Smith County. These tornadoes formed over grasslands, and produced little damage. As the dryline continued to retreat to the west, the supercell took a northeastward track producing hail up to the size of hen eggs across Deaf Smith and Oldham Counties and produced several funnel clouds. ||The storm continued to produce large hail and funnel clouds as it moved into Potter and Randall Counties. This large hail broke out skylights, broke windshields, busted out windows of portables, and damaged work vehicles at schools within the Bushland (Randall County) ISD. As the supercell approached the western portion of Amarillo (Randall and Potter County) several members of the public reported funnel clouds. Video evidence of one such funnel cloud showed the cloud lowering near to the ground, but no physical evidence of a touchdown was able to be identified by National Weather Service survey teams. ||What this supercell did produce across Amarillo (Potter and Randall County) was copious amounts of destructive hail up to the size of baseballs and heavy rain. The City of Amarillo reported that 225 of its work vehicles had some form of hail damage with an estimated repair cost between $2000 and $8500. The City Building Safety Director reported approximately 75 percent of homes around the city suffered hail damage of varying degrees. The Amarillo Botanical Gardens suffered massive damage to plants across the four acre property totaling in thousands of dollars of damage. The hail also damaged a greenhouse in the rear portion of the property. The accumulation of hail and heavy rain also flooded the Garden_è__è__è_s gallery while the strong winds blew a portion of the perimeter fencing down. Gene Messer Ford and AutoNation Chevrolet-Cadillac reported between 300 and 400 vehicles damaged from the hail with Gene Messer Ford estimating the damage to be between 3 and 4 million dollars. The total estimated of repair cost across the city of Amarillo (Randall and Potter Counties) is near $400 million dollars which dwarfs the June 21, 2004 hail storm which cost the city $175 million dollars. ||The supercell continued traveling to the northeast entering into Carson County. Upon entering the county the supercell encountered an increasing unfavorable environment as the nocturnal inversion strengthened. However, before the dissipating the thunderstorm was able to produce quarter size hail in the city of Panhandle (Carson County). The remnants of the supercell proceeded to move to the northeast until dissipating over southern Kansas.",270,,
